City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
saldanha,ZA,61.05,85,95,18.61,-33.0117,17.9442,1668978766
barrow,US,23.02,74,100,14.97,71.2906,-156.7887,1668978766
aranda de duero,ES,48.79,88,100,7.54,41.6704,-3.6892,1668978767
requena,ES,53.53,79,72,10.65,39.4883,-1.1004,1668978767
ancud,CL,56.53,52,1,3.38,-41.8697,-73.8203,1668978768
east london,ZA,62.98,79,13,8.79,-33.0153,27.9116,1668978768
comodoro rivadavia,AR,60.66,39,0,17.27,-45.8667,-67.5,1668978708
nanortalik,GL,27.36,85,100,12.64,60.1432,-45.2371,1668978768
erenhot,CN,22.39,39,0,7.02,43.6475,111.9767,1668978769
chuy,UY,72.37,77,100,12.46,-33.6971,-53.4616,1668978769
sangre grande,TT,83.89,84,38,8.93,10.5835,-61.1177,1668978769
ribeira grande,PT,66.78,94,75,12.66,38.5167,-28.7,1668978770
varhaug,NO,32.49,50,96,5.37,58.6147,5.6457,1668978770
busselton,AU,49.24,82,0,12.01,-33.65,115.3333,1668978770
qaanaaq,GL,-8.27,70,2,4.52,77.484,-69.3632,1668978771
cidreira,BR,70.97,80,95,22.26,-30.1811,-50.2056,1668978771
pacific grove,US,72.55,29,0,4.61,36.6177,-121.9166,1668978771
cape town,ZA,64.27,67,13,14.0,-33.9258,18.4232,1668978771
vaini,TO,76.64,71,100,9.73,-21.2,-175.2,1668978772
albany,US,30.85,32,35,7.0,42.6001,-73.9662,1668978772
atuona,PF,77.61,73,7,13.15,-9.8,-139.0333,1668978773
talnakh,RU,-18.92,95,97,4.99,69.4865,88.3972,1668978773
uivar,RO,43.32,83,100,9.55,45.6581,20.9058,1668978773
katangli,RU,27.81,78,23,9.6,51.7102,143.2326,1668978774
georgetown,MY,80.53,89,20,1.14,5.4112,100.3354,1668978734
rikitea,PF,67.3,86,100,13.15,-23.1203,-134.9692,1668978774
garowe,SO,74.25,65,67,13.53,8.4054,48.4845,1668978774
meulaboh,ID,74.3,94,100,3.27,4.1363,96.1285,1668978536
victoria,HK,75.38,82,27,5.01,22.2855,114.1577,1668978670
longyearbyen,SJ,37.24,81,75,19.57,78.2186,15.6401,1668978775
mahibadhoo,MV,80.74,80,100,17.2,3.7833,72.9667,1668978775
tuktoyaktuk,CA,16.72,95,100,7.78,69.4541,-133.0374,1668978775
bambous virieux,MU,73.65,78,40,4.61,-20.3428,57.7575,1668978776
hualmay,PE,68.72,73,74,8.88,-11.0964,-77.6139,1668978776
touros,BR,79.16,76,77,15.66,-5.1989,-35.4608,1668978775
huanren,CN,36.16,98,100,4.0,41.2647,125.3667,1668978777
avarua,CK,77.05,61,20,17.27,-21.2078,-159.775,1668978777
kawalu,ID,71.92,91,96,1.79,-7.3817,108.2082,1668978777
vao,NC,74.05,76,26,10.56,-22.6667,167.4833,1668978777
hilo,US,80.33,76,20,10.36,19.7297,-155.09,1668978778
ushuaia,AR,49.62,71,75,13.8,-54.8,-68.3,1668978778
chibombo,ZM,73.78,42,28,4.72,-14.6569,28.0706,1668978778
verkhnevilyuysk,RU,-26.9,100,64,2.17,63.4453,120.3167,1668978779
otacilio costa,BR,71.42,59,38,6.42,-27.4831,-50.1219,1668978779
ahipara,NZ,61.47,90,100,12.93,-35.1667,173.1667,1668978513
lebu,CL,57.94,63,0,24.38,-37.6167,-73.65,1668978779
puerto ayora,EC,75.16,92,100,5.01,-0.7393,-90.3518,1668978780
beringovskiy,RU,-3.24,88,31,19.95,63.05,179.3167,1668978568
aksu,CN,34.97,41,44,1.43,41.1231,80.2644,1668978780
mehamn,NO,35.55,87,75,5.75,71.0357,27.8492,1668978780
nakhon phanom,TH,70.05,85,74,3.24,17.3333,104.4167,1668978781
kapaa,US,82.38,75,40,17.27,22.0752,-159.319,1668978781
nikolskoye,RU,22.91,98,82,2.8,59.7035,30.7861,1668978781
chokurdakh,RU,-32.39,100,96,4.94,70.6333,147.9167,1668978782
mataura,NZ,58.48,68,82,3.69,-46.1927,168.8643,1668978782
punta arenas,CL,53.71,54,75,21.85,-53.15,-70.9167,1668978519
port alfred,ZA,60.19,92,10,8.5,-33.5906,26.891,1668978783
camopi,GF,79.74,67,100,2.35,3.1655,-52.3158,1668978783
tessalit,ML,72.72,13,57,9.62,20.1986,1.0114,1668978783
barra do garcas,BR,88.0,43,25,7.27,-15.89,-52.2567,1668978784
hobart,AU,50.25,68,40,13.8,-42.8794,147.3294,1668978784
bethel,US,33.89,38,0,12.66,41.3712,-73.414,1668978784
hithadhoo,MV,79.9,79,5,8.99,-0.6,73.0833,1668978785
butaritari,KI,80.22,81,20,12.57,3.0707,172.7902,1668978785
port-gentil,GA,76.96,88,20,5.75,-0.7193,8.7815,1668978785
tafresh,IR,43.03,46,0,3.89,34.692,50.013,1668978786
may pen,JM,85.21,66,57,10.27,17.9645,-77.2451,1668978496
yellowknife,CA,21.72,79,75,8.05,62.456,-114.3525,1668978726
viedma,AR,60.91,47,12,19.15,-40.8135,-62.9967,1668978786
bafq,IR,57.43,36,0,6.78,31.6128,55.4107,1668978787
spas-klepiki,RU,24.71,98,100,2.82,55.1347,40.1767,1668978787
namibe,AO,74.79,72,100,5.35,-15.1961,12.1522,1668978787
port elizabeth,ZA,58.1,80,16,1.86,-33.918,25.5701,1668978565
broken hill,AU,54.25,55,64,20.47,-31.95,141.4333,1668978788
dongsheng,CN,28.99,47,8,4.59,39.8161,109.9776,1668978788
bukachacha,RU,-4.56,96,32,2.93,52.9833,116.9167,1668978789
tsimlyansk,RU,46.38,78,100,8.79,47.6461,42.1019,1668978789
yulara,AU,67.1,31,95,8.84,-25.2406,130.9889,1668978789
cortez,US,48.04,28,0,11.5,37.3489,-108.5859,1668978790
mar del plata,AR,60.82,96,100,10.36,-38.0023,-57.5575,1668978641
grindavik,IS,41.47,87,75,14.97,63.8424,-22.4338,1668978624
husavik,IS,43.32,80,100,13.18,66.0449,-17.3389,1668978790
severo-kurilsk,RU,33.28,73,97,5.79,50.6789,156.125,1668978791
hermanus,ZA,53.8,78,3,7.31,-34.4187,19.2345,1668978791
odesskoye,RU,9.68,84,100,6.82,54.2111,72.9651,1668978792
sugod,PH,79.63,87,100,9.37,12.987,124.0805,1668978792
sola,VU,82.33,74,19,10.94,-13.8833,167.55,1668978793
bluff,NZ,58.8,80,67,5.99,-46.6,168.3333,1668978793
muros,ES,63.09,94,100,24.02,42.7762,-9.0603,1668978794
alamogordo,US,55.4,52,0,5.75,32.8995,-105.9603,1668978794
altay,CN,28.44,98,100,2.48,47.8667,88.1167,1668978794
aguimes,ES,66.83,73,75,25.32,27.9054,-15.4461,1668978795
tiksi,RU,-14.26,100,97,2.66,71.6872,128.8694,1668978795
hailey,US,34.99,50,0,0.0,43.5196,-114.3153,1668978795
fortuna,US,61.93,55,0,1.99,40.5982,-124.1573,1668978796
lazaro cardenas,MX,83.98,67,65,7.18,17.9583,-102.2,1668978796
new norfolk,AU,49.91,67,21,5.99,-42.7826,147.0587,1668978796
codrington,AU,46.89,82,79,24.92,-38.2667,141.9667,1668978797
arlit,NE,75.78,12,79,10.63,18.7369,7.3853,1668978797
jamestown,US,26.19,78,100,13.8,42.097,-79.2353,1668978797
lardos,GR,70.95,79,100,14.65,36.0942,28.0157,1668978798
ailigandi,PA,82.44,83,100,3.94,9.2333,-78.0167,1668978798
meadow lake,US,51.24,24,0,5.66,34.8014,-106.5436,1668978798
kondinskoye,RU,4.35,100,97,5.99,59.6481,67.41,1668978799
ahuimanu,US,83.91,64,20,20.71,21.4447,-157.8378,1668978799
khatanga,RU,-33.23,100,66,4.52,71.9667,102.5,1668978800
naze,JP,67.78,82,15,4.14,28.3667,129.4833,1668978800
airai,TL,61.68,91,100,2.84,-8.9266,125.4092,1668978801
mumford,GH,79.18,82,98,8.34,5.2618,-0.759,1668978801
sur,OM,75.51,65,0,5.99,22.5667,59.5289,1668978801
hailun,CN,15.85,52,54,8.05,47.45,126.9333,1668978802
adoni,IN,64.22,57,100,6.13,15.6333,77.2833,1668978802
shache,CN,40.17,22,24,4.7,38.4167,77.2406,1668978802
stornoway,GB,37.92,100,25,3.44,58.2093,-6.3865,1668978545
klyuchi,RU,6.93,78,19,6.11,52.2667,79.1667,1668978803
katsuura,JP,60.26,88,100,5.55,35.1333,140.3,1668978803
rocha,UY,78.35,67,100,10.38,-34.4833,-54.3333,1668978803
sechura,PE,76.77,55,18,14.83,-5.5569,-80.8222,1668978804
torbay,CA,40.75,92,100,17.27,47.6666,-52.7314,1668978804
bambanglipuro,ID,75.6,88,89,6.62,-7.95,110.2833,1668978804
marovoay,MG,78.33,80,0,5.86,-16.1,46.6333,1668978805
carnarvon,AU,69.06,44,0,15.17,-24.8667,113.6333,1668978805
mlonggo,ID,77.81,86,100,4.03,-6.5333,110.7,1668978806
esperance,AU,55.17,60,80,7.54,-33.8667,121.9,1668978668
willowmore,ZA,60.53,57,0,7.61,-33.2926,23.4895,1668978806
tuatapere,NZ,60.4,78,99,3.85,-46.1333,167.6833,1668978527
savelugu,GH,83.64,24,30,5.53,9.6244,-0.8253,1668978807
padang,ID,75.42,88,95,3.24,-0.9492,100.3543,1668978807
orikum,AL,60.15,85,62,23.15,40.3253,19.4714,1668978808
acajutla,SV,84.97,62,98,4.72,13.5928,-89.8275,1668978808
souillac,MU,73.78,78,40,4.61,-20.5167,57.5167,1668978808
severodvinsk,RU,24.91,86,100,7.47,64.5635,39.8302,1668978809
donduseni,MD,33.12,100,100,0.94,48.2427,27.6101,1668978809
mpwapwa,TZ,71.96,69,100,2.62,-6.35,36.4833,1668978809
san patricio,US,53.87,61,100,9.82,28.017,-97.5169,1668978810
corinto,GR,69.89,64,59,17.18,37.9407,22.9573,1668978810
namatanai,PG,82.58,67,100,8.23,-3.6667,152.4333,1668978810
port blair,IN,79.23,79,75,4.21,11.6667,92.75,1668978811
pravia,ES,52.07,93,40,3.44,43.4906,-6.1508,1668978811
sarakhs,IR,56.82,53,4,4.79,36.5449,61.1577,1668978811
shagonar,RU,5.16,98,100,2.35,51.5333,92.8,1668978812
umba,RU,24.66,92,93,2.39,66.6871,34.3429,1668978812
cap malheureux,MU,73.47,71,3,1.01,-19.9842,57.6142,1668978812
ossora,RU,13.05,81,17,6.4,59.2353,163.0719,1668978813
ambulu,ID,75.87,88,94,2.19,-8.345,113.6058,1668978813
kultuk,RU,18.68,75,100,3.89,51.7208,103.6956,1668978813
byron bay,AU,74.95,45,87,7.85,-28.65,153.6167,1668978814
kaitangata,NZ,60.62,76,51,3.56,-46.2817,169.8464,1668978814
newcastle,AU,69.82,48,0,9.22,-32.9272,151.7765,1668978517
loreto,MX,65.89,45,100,10.8,22.2667,-101.9667,1668978814
puerto del rosario,ES,69.55,78,40,25.32,28.5004,-13.8627,1668978798
saint george,US,54.43,25,0,3.0,37.1041,-113.5841,1668978815
raudeberg,NO,31.96,45,11,7.81,61.9875,5.1352,1668978815
waingapu,ID,79.81,81,100,1.19,-9.6567,120.2641,1668978815
nantucket,US,37.54,38,20,16.11,41.2835,-70.0995,1668978669
provideniya,RU,23.36,86,100,11.18,64.3833,-173.3,1668978625
henties bay,NA,61.66,83,100,7.4,-22.116,14.2845,1668978816
saint-philippe,RE,72.99,78,44,9.51,-21.3585,55.7679,1668978816
bara,NG,77.47,27,4,8.32,10.3744,10.7288,1668978816
saint anthony,US,31.82,60,0,9.22,45.0205,-93.218,1668978817
zhanaozen,KZ,48.13,91,38,4.88,43.3,52.8,1668978817
klaksvik,FO,45.52,89,100,29.55,62.2266,-6.589,1668978817
lorengau,PG,82.53,69,99,9.57,-2.0226,147.2712,1668978818
alta floresta,BR,75.74,85,65,2.44,-9.8756,-56.0861,1668978818
vanimo,PG,77.45,88,100,2.51,-2.6741,141.3028,1668978818
nelson bay,AU,70.11,47,70,11.99,-32.7167,152.15,1668978819
llata,PE,64.81,62,100,8.68,-9.4167,-76.7833,1668978819
drumnadrochit,GB,33.49,93,5,3.87,57.3344,-4.4799,1668978819
tynda,RU,-0.89,95,100,3.04,55.1667,124.7167,1668978728
salalah,OM,77.09,65,20,5.75,17.0151,54.0924,1668978820
lubaczow,PL,30.51,97,64,4.23,50.157,23.1234,1668978820
arraial do cabo,BR,75.06,83,0,14.97,-22.9661,-42.0278,1668978820
aiken,US,49.32,51,0,3.44,33.5835,-81.5998,1668978603
paamiut,GL,26.47,87,100,13.8,61.994,-49.6678,1668978821
thompson,CA,21.36,93,100,8.05,55.7435,-97.8558,1668978821
zhezkazgan,KZ,31.21,91,100,5.19,47.8043,67.7144,1668978821
male,MV,80.65,80,100,15.79,4.1748,73.5089,1668978822
aswan,EG,72.77,61,4,7.85,24.0934,32.907,1668978822
huarmey,PE,69.46,72,70,9.62,-10.0681,-78.1522,1668978822
harper,LR,76.68,87,100,3.4,4.375,-7.7169,1668978552
bredasdorp,ZA,58.23,78,0,2.06,-34.5322,20.0403,1668978823
saint-pierre,RE,73.08,68,20,4.61,-21.3393,55.4781,1668978823
yafran,LY,48.16,42,0,5.95,32.0633,12.5286,1668978824
saint simons,US,52.02,69,0,5.75,31.1352,-81.3901,1668978824
chifeng,CN,30.65,59,1,3.98,42.2683,118.9636,1668978729
margate,GB,46.69,79,81,11.01,51.3813,1.3862,1668978824
aklavik,CA,15.76,96,97,8.12,68.2191,-135.0107,1668978825
jishui,CN,53.44,81,95,4.68,33.7333,115.4,1668978825
zmeinogorsk,RU,-0.85,100,93,3.13,51.1567,82.195,1668978825
meadville,US,27.05,59,100,13.8,41.6414,-80.1515,1668978825
da nang,VN,76.98,94,75,1.14,16.0678,108.2208,1668978826
bathsheba,BB,79.41,78,75,17.27,13.2167,-59.5167,1668978826
jumla,NP,40.95,35,0,5.08,29.2747,82.1838,1668978826
norman wells,CA,22.28,90,95,8.32,65.282,-126.8329,1668978827
lusaka,ZM,74.7,33,2,5.03,-15.4067,28.2871,1668978821
roald,NO,36.75,69,0,3.44,62.5833,6.1333,1668978827
nabire,ID,74.16,82,88,3.4,-3.3667,135.4833,1668978828
hokitika,NZ,59.47,86,100,8.21,-42.7167,170.9667,1668978542
ostrovnoy,RU,34.83,91,100,9.98,68.0531,39.5131,1668978828
wukari,NG,79.38,30,68,4.29,7.85,9.7833,1668978828
oriximina,BR,91.65,41,25,5.73,-1.7656,-55.8661,1668978829
college,US,26.91,83,75,0.0,64.8569,-147.8028,1668978829
zavallya,UA,34.54,100,100,1.61,48.2135,30.0156,1668978829
bengkulu,ID,73.56,91,88,5.79,-3.8004,102.2655,1668978830
castro,BR,70.23,69,82,7.92,-24.7911,-50.0119,1668978830
guilin,CN,64.47,84,71,1.88,25.2819,110.2864,1668978830
iwanai,JP,48.9,97,100,2.66,42.9744,140.5089,1668978831
putyatino,RU,27.27,97,100,1.95,54.16,41.1169,1668978831
oliver,CA,34.5,75,33,4.23,49.1831,-119.5524,1668978831
eureka,US,62.2,78,72,3.0,40.8021,-124.1637,1668978682
sao joao da barra,BR,77.09,85,16,10.22,-21.6403,-41.0511,1668978832
zabid,YE,78.85,73,69,5.26,14.1951,43.3152,1668978832
leningradskiy,RU,-24.92,96,14,5.53,69.3833,178.4167,1668978832
carauari,BR,88.43,61,67,2.66,-4.8828,-66.8958,1668978832
baglung,NP,55.2,49,0,6.31,28.2719,83.5898,1668978833
turukhansk,RU,-12.57,93,100,5.26,65.8167,87.9833,1668978833
santa fe,AR,81.01,65,100,5.75,-31.6333,-60.7,1668978584
makokou,GA,69.49,99,95,3.78,0.5738,12.8642,1668978833
ponta do sol,PT,65.71,71,31,5.48,32.6667,-17.1,1668978834
tocopilla,CL,67.59,68,19,5.37,-22.092,-70.1979,1668978834
saskylakh,RU,-27.81,100,92,3.04,71.9167,114.0833,1668978834
batemans bay,AU,62.1,53,11,15.08,-35.7167,150.1833,1668978835
catuday,PH,78.39,78,100,11.9,16.2923,119.8062,1668978835
pangnirtung,CA,-1.62,63,22,7.02,66.1451,-65.7125,1668978836
luderitz,NA,63.43,72,92,13.09,-26.6481,15.1594,1668978836
vicosa,BR,69.33,84,47,6.24,-20.7539,-42.8819,1668978836
sao luiz gonzaga,BR,83.88,46,100,6.35,-28.4083,-54.9608,1668978836
joigny,FR,45.81,94,21,13.04,47.9829,3.401,1668978832
manono,CD,67.82,96,96,2.89,-7.3,27.4167,1668978837
acapulco,MX,85.82,74,40,6.91,16.8634,-99.8901,1668978697
denham springs,US,59.9,42,0,6.91,30.4869,-90.9562,1668978584
nioro,GM,77.25,20,100,3.85,13.35,-15.75,1668978838
novopokrovka,UA,34.3,99,100,12.12,49.8425,36.5477,1668978838
borogontsy,RU,-32.22,100,76,2.19,62.6683,131.1683,1668978838
luau,AO,64.27,91,88,3.31,-10.7073,22.2247,1668978839
dunedin,NZ,58.8,87,19,1.01,-45.8742,170.5036,1668978839
pevek,RU,-21.17,97,100,11.36,69.7008,170.3133,1668978839
kalmanka,RU,7.54,78,29,11.34,52.8992,83.5433,1668978840
guerrero negro,MX,71.8,30,2,7.56,27.9769,-114.0611,1668978840
upernavik,GL,14.63,94,100,14.34,72.7868,-56.1549,1668978840
xuzhou,CN,56.23,83,100,3.11,34.1805,117.1571,1668978841
tasiilaq,GL,39.36,81,100,13.82,65.6145,-37.6368,1668978841
hasaki,JP,54.28,72,100,10.94,35.7333,140.8333,1668978841
prince rupert,CA,42.89,93,100,9.22,54.3161,-130.3201,1668978679
kodiak,US,40.51,93,100,0.0,57.79,-152.4072,1668978842
naryan-mar,RU,32.76,97,100,11.16,67.6713,53.087,1668978842
bela,IN,62.04,66,0,4.29,25.9333,81.9833,1668978843
nemuro,JP,51.19,74,100,22.26,43.3236,145.575,1668978843
elektrogorsk,RU,22.48,97,100,2.66,55.8794,38.7919,1668978843
mnogovershinnyy,RU,16.2,97,92,4.29,53.9353,139.9242,1668978844
biak,ID,75.9,85,100,3.67,-0.9131,122.8766,1668978844
evensk,RU,-8.61,79,11,6.62,61.95,159.2333,1668978845
itaqui,BR,83.34,52,100,14.81,-29.1253,-56.5531,1668978769
hofn,IS,44.67,82,100,6.76,64.2539,-15.2082,1668978846
mabaruma,GY,75.65,95,33,4.61,8.2,-59.7833,1668978846
indian head,US,42.06,23,0,16.11,38.6001,-77.1622,1668978846
aripuana,BR,85.5,57,97,1.25,-9.1667,-60.6333,1668978847
karratha,AU,81.18,29,100,5.61,-20.7377,116.8463,1668978847
hovd,MN,23.16,59,17,6.87,48.0056,91.6419,1668978847
pindiga,NG,76.53,27,2,7.31,9.9833,10.9333,1668978848
vieques,PR,82.72,78,40,14.97,18.425,-65.8329,1668978848
ulagan,RU,17.06,94,100,2.51,50.6321,87.9563,1668978848
ibra,OM,68.43,65,0,3.31,22.6906,58.5334,1668978849
marolambo,MG,69.84,92,35,2.91,-20.05,48.1167,1668978849
moose factory,CA,9.19,82,63,9.28,51.2585,-80.6094,1668978849
tual,ID,84.61,70,100,8.32,-5.6667,132.75,1668978850
yerkoy,TR,56.01,60,100,3.15,39.6381,34.4672,1668978850
tabou,CI,76.46,88,96,4.23,4.423,-7.3528,1668978851
kruisfontein,ZA,55.89,80,54,3.87,-34.0033,24.7314,1668978851
clyde river,CA,-15.97,81,6,3.78,70.4692,-68.5914,1668978851
vostok,RU,20.5,96,93,3.78,46.4856,135.8833,1668978852
salinopolis,BR,80.98,74,60,8.97,-0.6136,-47.3561,1668978852
chilca,PE,64.78,84,84,5.61,-12.5211,-76.7372,1668978853
el dorado,US,61.68,28,35,4.0,38.7666,-120.5177,1668978853
port-cartier,CA,25.75,89,100,5.68,50.0334,-66.8654,1668978853
kidal,ML,75.7,11,78,9.31,18.4411,1.4078,1668978854
norrtalje,SE,33.03,82,100,12.91,59.758,18.705,1668978854
amarillo,US,54.09,24,0,17.27,35.222,-101.8313,1668978855
palmer,US,33.35,33,20,18.41,42.1584,-72.3287,1668978855
maragogi,BR,77.4,77,59,7.81,-9.0122,-35.2225,1668978643
deputatskiy,RU,-18.35,90,95,0.89,69.3,139.9,1668978856
